
2024/06/07 (18:53:48) | ===> btop++ v.1.3.2
2024/06/07 (18:53:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (02:01:46) | ===> btop++ v.1.3.2
2024/06/08 (02:01:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/08 (10:48:04) | ===> btop++ v.1.3.2
2024/06/08 (10:48:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/09 (20:41:36) | ===> btop++ v.1.3.2
2024/06/09 (20:41:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/13 (01:20:19) | ===> btop++ v.1.3.2
2024/06/13 (01:20:19) | WARNING: Failed to set locale UTF-8 continuing anyway.
